table,var,format,description,nomenclature,creation,suppression,dates_manquantes
BE_IDE_R,IDE_GES_DTE,date (10),Date d'effet du rattachement,-,,,
BE_IDE_R,IDE_SRT_NUM,string (14),Numéro SIRET,-,,,
BE_IDE_R,IDE_ETA_DTE,date (10),Date d'effet du Code Activité de l'Etablissement,-,,,
BE_IDE_R,IDE_ATI_COD,string (1),Code Activité de l'Etablissement,-,,,
BE_IDE_R,IDE_PSP_NAT,string (1),Code PSPH de l'Etablissement,-,,,
BE_IDE_R,IDE_PSP_DTE,date (10),Date d'effet du PSPH de l'Etablissement,-,,,
BE_IDE_R,IDE_BGL_PEX,string (4),Premier exercice de fonctionnement Bugdet Global de l'Etablissement,-,,,
BE_IDE_R,IDE_ETA_TYP,string (1),Code type de l'Etablissement,-,,,
BE_IDE_R,IDE_COD_A24,string (3),Code annexe 24 principal,-,,,
BE_IDE_R,IDE_SAN_PUB,string (1),Code structure secteur sanitaire public,-,,,
BE_IDE_R,IDE_IDE_EAM,integer (10),Code AM de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_DAM,date (10),Date de Début de l'AM de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_FAM,date (10),Date de Fin de l'AM de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_EAS,integer (10),Code AS de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_DAS,date (10),Date de Début de l'AS de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_FAS,date (10),Date de Fin de l'AS de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_CON,integer (10),Code contrat de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_DON,date (10),Date de Début du contrat de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_FON,date (10),Date de Fin du contrat de l'Etablissement,-,,,
BE_IDE_R,IDE_NUM_ANC,string (9),No Finess ancien,-,,,
BE_IDE_R,IDE_ANC_DTE,date (10),Date Finess ancien,-,,,
BE_IDE_R,IDE_IDE_CTR,number (1),Code convention tripartite,-,,,
BE_IDE_R,IDE_IDE_DTR,date (10),Date début convention tripartite,-,,,
BE_IDE_R,IDE_IDE_FTR,date (10),Date fin convention tripartite,-,,,
BE_IDE_R,IDE_A24_24,string (3),Code annexe 24,-,,,
BE_IDE_R,IDE_A24_24B,string (3),Code annexe 24B,-,,,
BE_IDE_R,IDE_A24_24C,string (3),Code annexe 24C,-,,,
BE_IDE_R,IDE_A24_24Q,string (3),Code annexe 24Q,-,,,
BE_IDE_R,IDE_A24_24S,string (3),Sans annexe 24,-,,,
BE_IDE_R,IDE_A24_24T,string (3),Code annexe 24T,-,,,
BE_IDE_R,IDE_NUM_PCP,string (9),Code établissement principal,-,,,
BE_IDE_R,IDE_CBU_CTR,number (1),Code contrat médicaments,-,,,
BE_IDE_R,IDE_CBU_EFF,date (10),Date effet contrat médicaments,-,,,
BE_IDE_R,IDE_CBU_TAU,string (3),Taux contrat médicaments,-,,,
BE_IDE_R,IDE_CBU_DTF,date (10),Date fin contrat médicaments,-,,,
BE_IDE_R,IDE_FIN_IND,string (1),Indice Financement,-,,,
BE_IDE_R,IDE_CAI_PIV,string (5),Caisse Pivot,-,,,
BE_IDE_R,IDE_NAT_ORI,string (4),Code Nature de l'Origine de l'Etablissement (CPAM ou CRAM),-,,,
BE_IDE_R,IDE_MCO_COE,number (5),Coefficient MCO,-,,,
BE_IDE_R,IDE_COE_HAD,number (5),Coefficient HAD,-,,,
BE_IDE_R,IDE_MCO_DTE,date (10),Date D'effet du Coefficient MCO,-,,,
BE_IDE_R,IDE_HAD_DTE,date (10),Date D'effet du Coefficient HAD,-,,,
BE_IDE_R,IDE_IMP_DPT,string (3),Département Implantation de l'Etablissement,-,,,
CT_DEP_AAAA_GN,id_carto,string (18),Identifiant bénéficiaire cartographie,-,,,
CT_DEP_AAAA_GN,ben_sex_cod,number (1),Code sexe du bénéficiaire,IR_SEX_V,,,
CT_DEP_AAAA_GN,ben_nai_ann,string (4),Année de naissance du bénéficiaire,-,,,
CT_DEP_AAAA_GN,age,number (8),Age du bénéficiaire,-,,,
CT_DEP_AAAA_GN,cla_age_ct,string (5),Classes d'âge du bénéficiaire (cartographie),-,,,
CT_DEP_AAAA_GN,cla_age_5,string (5),Classes d'âge du bénéficiaire (quinquennales),-,,,
CT_DEP_AAAA_GN,old_cod_reg,string (2),Région de résidence du bénéficiaire (ancien codage),-,,,
CT_DEP_AAAA_GN,new_cod_reg,string (2),Région de résidence du bénéficiaire (nouveau codage),-,,,
CT_DEP_AAAA_GN,dpt,string (3),Département de résidence du bénéficiaire,-,,,
CT_DEP_AAAA_GN,regime,string (6),Régime du bénéficiaire,-,,,
CT_DEP_AAAA_GN,source,string (3),Source de provenance du bénéficiaire,-,,,
CT_DEP_AAAA_GN,cmu,number (8),Bénéficiaire de la Couverture Maladie Universelle complémentaire,-,,,
CT_DEP_AAAA_GN,ben_acs_top,string (1),Top contrat ACS Tiers payant Intégral,-,,,
CT_DEP_AAAA_GN,ben_aah_top,number (8),Bénéficiaire de l'allocation adulte handicapé,-,,,
CT_DEP_AAAA_GN,ben_dcd_dte,number (8),Date de décès du bénéficiaire,-,,,
CT_DEP_AAAA_GN,dcd_3112,number (8),Bénéficiaire décédé au 31 décembre de l'année N,-,,,
CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_MNT,number (8),Soins de généralistes remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_BSE,number (8),Soins de généralistes remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_MNT,number (8),Soins autres spécialistes remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_BSE,number (8),Soins autres spécialistes remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_HONODENT_MNT,number (8),Soins dentaires remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_HONODENT_BSE,number (8),Soins dentaires remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_MNT,number (8),Soins de sages-femmes remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_BSE,number (8),Soins de sages-femmes remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_KINE_MNT,number (8),Soins de kinésithérapie remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_KINE_BSE,number (8),Soins de kinésithérapie remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_MNT,number (8),Soins infirmiers remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_BSE,number (8),Soins infirmiers remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_MNT,number (8),Soins d'autres paramédicaux remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_BSE,number (8),Soins d'autres paramédicaux remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_BIO_MNT,number (8),Biologie remboursée,-,,,
CT_DEP_AAAA_GN,DEP_SDV_BIO_BSE,number (8),Biologie remboursable,-,,,
CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_MNT,number (8),Médicaments remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_BSE,number (8),Médicaments remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_LPP_MNT,number (8),Autres produits de santé remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_LPP_BSE,number (8),Autres produits de santé remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_MNT,number (8),Transports remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_BSE,number (8),Transports remboursables,-,,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRES_MNT,number (8),Autres dépenses de soins de ville remboursés,-,,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRES_BSE,number (8),Autres dépenses de soins de ville remboursables,-,,,
CT_DEP_AAAA_GN,TOT_DEP_SDV_MNT,number (8),Total soins de ville remboursés,-,,,
CT_DEP_AAAA_GN,TOT_DEP_SDV_BSE,number (8),Total soins de ville remboursables,-,,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_MNT,number (8),Hospitalisations séjour MCO secteur public remboursées,-,,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_BSE,number (8),Hospitalisations séjour MCO secteur public remboursables,-,,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_MNT,number (8),Hospitalisations liste en sus MCO secteur public remboursées,-,,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_BSE,number (8),Hospitalisations liste en sus MCO secteur public remboursables,-,,,
CT_DEP_AAAA_GN,dep_OQN_MCOSEJOUR_MNT,number (8),Hospitalisations séjour MCO secteur privé remboursées,-,,,
CT_DEP_AAAA_GN,dep_OQN_MCOSEJOUR_BSE,number (8),Hospitalisations séjour MCO secteur privé remboursables,-,,,
CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_MNT,number (8),Hospitalisations liste en sus MCO secteur privé remboursées,-,,,
CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_BSE,number (8),Hospitalisations liste en sus MCO secteur privé remboursables,-,,,
CT_DEP_AAAA_GN,DEP_DGF_ACE_MNT,number (8),Actes et consultations externes MCO secteur public remboursés,-,,,
CT_DEP_AAAA_GN,DEP_DGF_ACE_BSE,number (8),Actes et consultations externes MCO secteur public remboursables,-,,,
CT_DEP_AAAA_GN,DEP_DGF_PSY_MNT,number (8),Hospitalisations en psychiatrie secteur public remboursées,-,,,
CT_DEP_AAAA_GN,DEP_DGF_PSY_BSE,number (8),Hospitalisations en psychiatrie secteur public remboursables,-,,,
CT_DEP_AAAA_GN,dep_OQN_PSY_MNT,number (8),Hospitalisations en psychiatrie secteur privé remboursées,-,,,
CT_DEP_AAAA_GN,dep_OQN_PSY_BSE,number (8),Hospitalisations en psychiatrie secteur privé remboursables,-,,,
CT_DEP_AAAA_GN,DEP_DGF_SSR_MNT,number (8),Hospitalisations en SSR secteur public remboursées,-,,,
CT_DEP_AAAA_GN,DEP_DGF_SSR_BSE,number (8),Hospitalisations en SSR secteur public remboursables,-,,,
CT_DEP_AAAA_GN,dep_OQN_SSR_MNT,number (8),Hospitalisations en SSR secteur privé remboursées,-,,,
CT_DEP_AAAA_GN,dep_OQN_SSR_BSE,number (8),Hospitalisations en SSR secteur privé remboursables,-,,,
CT_DEP_AAAA_GN,DEP_DGF_HAD_MNT,number (8),Hospitalisations en HAD secteur public remboursées,-,,,
CT_DEP_AAAA_GN,DEP_DGF_HAD_BSE,number (8),Hospitalisations en HAD secteur public remboursables,-,,,
CT_DEP_AAAA_GN,DEP_OQN_HAD_MNT,number (8),Hospitalisations en HAD secteur privé remboursées,-,,,
CT_DEP_AAAA_GN,DEP_OQN_HAD_BSE,number (8),Hospitalisations en HAD secteur privé remboursables,-,,,
CT_DEP_AAAA_GN,TOT_DEP_HOP_MNT,number (8),Total hospitalisations (tous secteurs) remboursées,-,,,
CT_DEP_AAAA_GN,TOT_DEP_HOP_BSE,number (8),Total hospitalisations (tous secteurs) remboursables,-,,,
CT_DEP_AAAA_GN,DEP_IJMALATMP_MNT,number (8),Indemnités journalières maladie et AT-MP remboursées,-,,,
CT_DEP_AAAA_GN,DEP_IJMALATMP_BSE,number (8),Indemnités journalières maladie et AT-MP remboursables,-,,,
CT_DEP_AAAA_GN,DEP_IJMATER_MNT,number (8),Indemnités journalières maternité et autres prestations remboursées,-,,,
CT_DEP_AAAA_GN,DEP_IJMATER_BSE,number (8),Indemnités journalières maternité et autres prestations remboursables,-,,,
CT_DEP_AAAA_GN,DEP_INVALID_MNT,number (8),Prestations d'invalidité remboursées,-,,,
CT_DEP_AAAA_GN,DEP_INVALID_BSE,number (8),Prestations d'invalidité remboursables,-,,,
CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_MNT,number (8),Total prestations en espèces remboursées,-,,,
CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_BSE,number (8),Total prestations en espèces remboursables,-,,,
CT_DEP_AAAA_GN,TOT_DEP_MNT,number (8),Total des dépenses remboursées,-,,,
CT_DEP_AAAA_GN,TOT_DEP_BSE,number (8),Total des dépenses remboursables,-,,,
CT_DEP_AAAA_GN,version,string (2),Version de la cartographie,-,,,
CT_DEP_AAAA_GN,BEN_DCD_AME,string (6),Année et mois de décès du bénéficiaire,-,,,
CT_IDE_AAAA_GN,id_carto,string (18),Identifiant bénéficiaire cartographie,-,,,
CT_IDE_AAAA_GN,ben_nir_psa,string (17),Identifiant anonyme du patient dans le SNIIRAM,-,,,
CT_IDE_AAAA_GN,ben_rng_gem,number (2),rang de naissance du bénéficiaire,IR_BER_V,,,
CT_IDE_AAAA_GN,version,string (2),Version de la cartographie,-,,,
CT_IND_AAAA_GN,id_carto,string (18),Identifiant bénéficiaire cartographie,-,,,
CT_IND_AAAA_GN,ben_sex_cod,number (1),Code sexe du bénéficiaire,IR_SEX_V,,,
CT_IND_AAAA_GN,ben_nai_ann,string (4),Année de naissance du bénéficiaire,-,,,
CT_IND_AAAA_GN,age,number (8),Age du bénéficiaire,-,,,
CT_IND_AAAA_GN,cla_age_ct,string (5),Classes d'âge du bénéficiaire (cartographie),-,,,
CT_IND_AAAA_GN,cla_age_5,string (5),Classes d'âge du bénéficiaire (quinquennales),-,,,
CT_IND_AAAA_GN,old_cod_reg,string (2),Région de résidence du bénéficiaire (ancien codage),-,,,
CT_IND_AAAA_GN,new_cod_reg,string (2),Région de résidence du bénéficiaire (nouveau codage),-,,,
CT_IND_AAAA_GN,dpt,string (3),Département de résidence du bénéficiaire,-,,,
CT_IND_AAAA_GN,regime,string (6),Régime du bénéficiaire,-,,,
CT_IND_AAAA_GN,source,string (3),Source de provenance du bénéficiaire,-,,,
CT_IND_AAAA_GN,cmu,number (8),Bénéficiaire de la Couverture Maladie Universelle complémentaire,-,,,
CT_IND_AAAA_GN,ben_dcd_dte,number (8),Date de décés du bénéficiaire,-,,,
CT_IND_AAAA_GN,dcd_3112,number (8),Bénéficiaire décédé au 31 décembre de l'année N,-,,,
CT_IND_AAAA_GN,ben_acs_top,string (1),Top contrat ACS Tiers payant Intégral,-,,,
CT_IND_AAAA_GN,ben_aah_top,number (8),Bénéficiaire de l'allocation adulte handicapé,-,,,
CT_IND_AAAA_GN,top_CvIDM_aig,number (8),Syndrome coronaire aigu,-,,,
CT_IND_AAAA_GN,top_CvCoron_chr,number (8),Maladie coronaire chronique,-,,,
CT_IND_AAAA_GN,sup_CvIDMCor_cat,number (8),Maladie coronaire,-,,,
CT_IND_AAAA_GN,top_CvAVC_aig,number (8),Accident vasculaire cérébral aigu,-,,,
CT_IND_AAAA_GN,top_CvAVC_seq,number (8),Séquelle d'accident vasculaire cérébral,-,,,
CT_IND_AAAA_GN,sup_CvAVC_cat,number (8),Accident vasculaire cérébral,-,,,
CT_IND_AAAA_GN,top_CvIC_aig,number (8),Insuffisance cardiaque aiguë,-,,,
CT_IND_AAAA_GN,top_CvIC_chr,number (8),Insuffisance cardiaque chronique,-,,,
CT_IND_AAAA_GN,sup_CvIC_cat,number (8),Insuffisance cardiaque,-,,,
CT_IND_AAAA_GN,top_CvAOMI_ind,number (8),Artériopathie oblitérante du membre inférieur,-,,,
CT_IND_AAAA_GN,top_CvTrRyC_ind,number (8),Troubles du rythme ou de la conduction cardiaque,-,,,
CT_IND_AAAA_GN,top_CvValve_ind,number (8),Maladie valvulaire,-,,,
CT_IND_AAAA_GN,top_CvEmbol_aig,number (8),Embolie pulmonaire aiguë,-,,,
CT_IND_AAAA_GN,top_CvAutre_ind,number (8),Autres affections cardiovasculaires,-,,,
CT_IND_AAAA_GN,sup_Cvaig_cat,number (8),Maladies cardioneurovasculaires aigues,-,,,
CT_IND_AAAA_GN,sup_Cvchr_cat,number (8),Maladies cardioneurovasculaires chroniques,-,,,
CT_IND_AAAA_GN,sup_Cv_cat,number (8),Maladies cardioneurovasculaires,-,,,
CT_IND_AAAA_GN,top_FAntiHTA_med,number (8),Traitements antihypertenseurs (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_FAntiHTA_med_nnexclu,number (8),Traitements antihypertenseurs (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,top_FHypoLi_med,number (8),Traitements hypolipémiants (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_FHypoLi_med_nnexclu,number (8),Traitements hypolipémiants (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,sup_FRV_cat,number (8),Traitements du risque vasculaire (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_FRV_cat_nnexclu,number (8),Traitements du risque vasculaire (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,top_FDiabet_ind,number (8),Diabète,-,,,
CT_IND_AAAA_GN,sup_FInsul_ind,number (8),Diabète insulino-traité,-,,,
CT_IND_AAAA_GN,sup_FInsulNO_ind,number (8),Diabète non insulino-traité,-,,,
CT_IND_AAAA_GN,sup_FRVDiab_cat,number (8),Diabète (avec ou sans pathologies) ou traitements du risque vasculaire (hors pathologies),-,,,
CT_IND_AAAA_GN,top_CanSeiF_act,number (8),Cancer du sein de la femme actif,-,,,
CT_IND_AAAA_GN,top_CanSeiF_sur,number (8),Cancer du sein de la femme sous surveillance,-,,,
CT_IND_AAAA_GN,sup_CanSeiF_cat,number (8),Cancer du sein de la femme,-,,,
CT_IND_AAAA_GN,top_CanColo_act,number (8),Cancer du côlon actif,-,,,
CT_IND_AAAA_GN,top_CanColo_sur,number (8),Cancer du côlon sous surveillance,-,,,
CT_IND_AAAA_GN,sup_CanColo_cat,number (8),Cancer du côlon,-,,,
CT_IND_AAAA_GN,top_CanPoum_act,number (8),Cancer du poumon actif,-,,,
CT_IND_AAAA_GN,top_CanPoum_sur,number (8),Cancer du poumon sous surveillance,-,,,
CT_IND_AAAA_GN,sup_CanPoum_cat,number (8),Cancer du poumon,-,,,
CT_IND_AAAA_GN,top_CanPros_act,number (8),Cancer de la prostate actif,-,,,
CT_IND_AAAA_GN,top_CanPros_sur,number (8),Cancer de la prostate sous surveillance,-,,,
CT_IND_AAAA_GN,sup_CanPros_cat,number (8),Cancer de la prostate,-,,,
CT_IND_AAAA_GN,top_CanAutr_act,number (8),Autres cancers actifs,-,,,
CT_IND_AAAA_GN,top_CanAutr_sur,number (8),Autres cancers sous surveillance,-,,,
CT_IND_AAAA_GN,sup_CanAutr_cat,number (8),Autres cancers,-,,,
CT_IND_AAAA_GN,sup_CanAct_cat,number (8),Cancers actifs,-,,,
CT_IND_AAAA_GN,sup_CanSur_cat,number (8),Cancers sous surveillance,-,,,
CT_IND_AAAA_GN,sup_Can_cat,number (8),Cancers,-,,,
CT_IND_AAAA_GN,top_Psychos_ind,number (8),Troubles psychotiques,-,,,
CT_IND_AAAA_GN,top_PDepNev_ind,number (8),Troubles névrotiques et de l'humeur,-,,,
CT_IND_AAAA_GN,sup_PTrBipo_ind,number (8),Troubles maniaques et bipolaires,-,,,
CT_IND_AAAA_GN,sup_PTrDHum_ind,number (8),Dépression et autres troubles de l'humeur,-,,,
CT_IND_AAAA_GN,sup_PTrNevr_ind,number (8),Troubles névrotiques liés au stress et somatoformes,-,,,
CT_IND_AAAA_GN,top_PRetard_ind,number (8),Déficience mentale,-,,,
CT_IND_AAAA_GN,top_PAddict_ind,number (8),Troubles addictifs,-,,,
CT_IND_AAAA_GN,sup_PAddAlc_ind,number (8),Troubles addictifs liés à l'utilisation d'alcool,-,,,
CT_IND_AAAA_GN,sup_PAddTab_ind,number (8),Troubles addictifs liés à l'utilisation du tabac,-,,,
CT_IND_AAAA_GN,sup_PAddCan_ind,number (8),Troubles addictifs liés à l'utilisation du cannabis,-,,,
CT_IND_AAAA_GN,sup_PAddAut_ind,number (8),"Troubles addictifs (hormis ceux liés à l'utilisation d'alcool, du tabac et du cannabis)",-,,,
CT_IND_AAAA_GN,top_PTrEnfa_ind,number (8),Troubles psychiatriques débutant dans l'enfance,-,,,
CT_IND_AAAA_GN,top_PsyAutr_ind,number (8),Autres troubles psychiatriques,-,,,
CT_IND_AAAA_GN,sup_PsyPat_cat,number (8),Maladies psychiatriques,-,,,
CT_IND_AAAA_GN,top_PAntiDe_med,number (8),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_PAntiDe_med_nnexclu,number (8),Traitements antidépresseurs ou régulateurs de l'humeur (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,top_PNeurol_med,number (8),Traitements neuroleptiques (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_PNeurol_med_nnexclu,number (8),Traitements neuroleptiques (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,top_PAnxiol_med,number (8),Traitements anxiolytiques (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_PAnxiol_med_nnexclu,number (8),Traitements anxiolytiques (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,top_PHypnot_med,number (8),Traitements hypnotiques (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_PHypnot_med_nnexclu,number (8),Traitements hypnotiques (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,sup_PsyMed_cat,number (8),Traitements psychotropes (hors pathologies),-,,,
CT_IND_AAAA_GN,sup_PsyMed_cat_nnexclu,number (8),Traitements psychotropes (avec ou sans pathologies),-,,,
CT_IND_AAAA_GN,sup_Psy_cat,number (8),Maladies psychiatriques ou psychotropes,-,,,
CT_IND_AAAA_GN,top_NDemenc_ind,number (8),Démences (dont maladie d'Alzheimer),-,,,
CT_IND_AAAA_GN,sup_NDemAlz_ind,number (8),Maladie d'Alzheimer,-,,,
CT_IND_AAAA_GN,sup_NDemAut_ind,number (8),Autres démences,-,,,
CT_IND_AAAA_GN,top_NParkin_ind,number (8),Maladie de Parkinson,-,,,
CT_IND_AAAA_GN,sup_NDemPar_cat,number (8),Maladies dégénératives (démences et Parkinson),-,,,
CT_IND_AAAA_GN,top_NSePlaq_ind,number (8),Sclérose en plaque,-,,,
CT_IND_AAAA_GN,top_NParapl_ind,number (8),Paraplégie,-,,,
CT_IND_AAAA_GN,top_NMyoMya_ind,number (8),Myopathie ou myasthénie,-,,,
CT_IND_AAAA_GN,top_NEpilep_ind,number (8),Epilepsie,-,,,
CT_IND_AAAA_GN,top_NAutres_ind,number (8),Autres affections neurologiques,-,,,
CT_IND_AAAA_GN,sup_Neuro_cat,number (8),Maladies neurologiques,-,,,
CT_IND_AAAA_GN,sup_NeuDeg_cat,number (8),Maladies neurologiques ou dégénératives,-,,,
CT_IND_AAAA_GN,top_ABPCOIr_ind,number (8),Maladies respiratoires chroniques (hors mucoviscidose),-,,,
CT_IND_AAAA_GN,sup_ABPCOIr_ind_nnexclu,number (8),Maladies respiratoires chroniques (avec ou sans mucoviscidose),-,,,
CT_IND_AAAA_GN,top_IRCrRCH_ind,number (8),Maladies inflammatoires chroniques intestinales,-,,,
CT_IND_AAAA_GN,top_IRPolyA_ind,number (8),Polyarthrite rhumatoïde et maladies apparentées,-,,,
CT_IND_AAAA_GN,top_IRSponA_ind,number (8),Spondylarthrite ankylosante et maladies apparentées,-,,,
CT_IND_AAAA_GN,top_IRautre_ind,number (8),Autres maladies inflammatoires chroniques,-,,,
CT_IND_AAAA_GN,sup_Inflam_cat,number (8),Maladies inflammatoires chroniques,-,,,
CT_IND_AAAA_GN,top_IRMMHer_ind,number (8),Maladies métaboliques héréditaires ou amylose,-,,,
CT_IND_AAAA_GN,top_IRMuco_ind,number (8),Mucoviscidose,-,,,
CT_IND_AAAA_GN,top_IRHemop_ind,number (8),Hémophilie ou troubles de l'hémostase graves,-,,,
CT_IND_AAAA_GN,sup_IRHemop_ind_exclu,number (8),Hémophilie,-,,,
CT_IND_AAAA_GN,sup_IRTrHemoSev_ind,number (8),Autres troubles de l'hémostase graves,-,,,
CT_IND_AAAA_GN,sup_Rares_cat,number (8),Maladies rares,-,,,
CT_IND_AAAA_GN,top_IRVih_ind,number (8),VIH ou SIDA,-,,,
CT_IND_AAAA_GN,sup_InfRarVIH_cat,number (8),Maladies inflammatoires ou rares ou VIH ou SIDA,-,,,
CT_IND_AAAA_GN,top_RDialyse_ind,number (8),Dialyse chronique,-,,,
CT_IND_AAAA_GN,sup_RHemDia_ind,number (8),Hémodialyse chronique,-,,,
CT_IND_AAAA_GN,sup_RDiaPer_ind,number (8),Dialyse péritonéale chronique,-,,,
CT_IND_AAAA_GN,top_Rtrans_aig,number (8),Transplantation rénale,-,,,
CT_IND_AAAA_GN,top_Rtrans_chr,number (8),Suivi de transplantation rénale,-,,,
CT_IND_AAAA_GN,sup_RDiaCou_ind,number (8),Dialyse courte,-,,,
CT_IND_AAAA_GN,sup_RIRCT_cat,number (8),Insuffisance rénale chronique terminale,-,,,
CT_IND_AAAA_GN,top_HFoiPan_ind,number (8),Maladies du foie ou du pancréas (hors mucoviscidose),-,,,
CT_IND_AAAA_GN,sup_HFoiPan_ind_nnexclu,number (8),Maladies du foie ou du pancréas (avec ou sans mucoviscidose),-,,,
