Code LPP;Libellé;Prise en charge en sus du GHS dans le public et le privé (Oui/Non);Prise en charge en sus du GHS dans le privé à but lucratif seul (Oui/Non);Date de l'arrêté;Date JO;Date d'effet de la prise en charge en sus du GHS;Date d'effet de la radiation du code
3100564.0;implant osseux, poudre, <ou= 15 cm3, injectable, synthes, norian;O;O;2008-11-21 00:00:00;2008-11-28 00:00:00;2008-12-11 00:00:00;
3100624.0;poignet, implant trapezo-metacarpien, non metallique;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3100624.0;poignet, implant trapezo-metacarpien, non metallique;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3100699.0;reconstruction tibiale, modulaire, charniere fixe, stanmore, mets.;O;O;2017-03-30 00:00:00;2017-04-04 00:00:00;2017-04-12 00:00:00;
3100699.0;reconstruction tibiale, modulaire, charnière fixe, stanmore, mets. ;O;O;2017-03-30 00:00:00;2017-04-04 00:00:00;2017-04-17 00:00:00;
3100920.0;genou, embase tibiale unicompartimentale, metallique, non cimentee;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3100920.0;genou, embase tibiale unicompartimentale, metallique, non cimentee;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3101078.0;endoprothese aortique tho., cook, zenith tx2 proform, syst mod,corps prox degres;O;O;2010-05-05 00:00:00;2010-05-11 00:00:00;2010-05-24 00:00:00;
3101173.0;reconstruction femorale, modulaire, stanmore, mets, remplacement axe;O;O;2010-08-02 00:00:00;2010-08-26 00:00:00;2010-09-08 00:00:00;
3101291.0;prothèse ostéo-intégrée, prodition, ponto bhx, implant large 3 mm;O;O;2017-03-24 00:00:00;2017-03-29 00:00:00;2017-04-11 00:00:00;
3101368.0;rachis, prothese disque lombaire, medtronic, maverick;O;O;2015-07-09 00:00:00;2015-07-14 00:00:00;;2015-07-27
3101368.0;rachis, prothese disque lombaire, medtronic, maverick;O;O;2011-12-02 00:00:00;2011-12-07 00:00:00;2011-12-20 00:00:00;
3101397.0;endoprothèse périph., stent lib. évérolimus, boston, promus premier monorail btk;O;O;2016-11-16 00:00:00;2016-11-23 00:00:00;2016-12-06 00:00:00;
3101405.0;genou, quille d'ancrage;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3101405.0;genou, quille d'ancrage;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3101411.0;endoprothese coronaire, stent lib. everolimus, boston, synergy, diam 3,00mm.;O;O;2015-12-15 00:00:00;2015-12-01 00:00:00;2015-12-31 00:00:00;
3101606.0;genou, implant unicompartimental ou insert tibial en polyethylene seul;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3101606.0;genou, implant unicompartimental ou insert tibial en polyethylene seul;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3101670.0;osteosynthese, plaque diaphysaire, adherente ou a crenage, autre que pour femur;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;;2006-03-15
3101670.0;osteosynthese, plaque diaphysaire, adherente ou a crenage, autre que pour femur;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3102008.0;genou, implant meniscal, ancre resorbable ou non, smith & nephew, fast fix;O;O;2015-03-06 00:00:00;2015-03-11 00:00:00;;2015-03-24
3102008.0;genou, implant meniscal, ancre resorbable ou non, smith & nephew, fast fix;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3102037.0;endoprothese aortique, lemaitre, powerlink, dispositif d'occlusion;O;O;2012-08-01 00:00:00;2012-08-09 00:00:00;;2012-08-22
3102037.0;endoprothese aortique, lemaitre, powerlink, dispositif d'occlusion;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-23 00:00:00;
3102066.0;implant d'embolisation liquide, ev3, onyx 18;O;O;2011-05-09 00:00:00;2011-05-12 00:00:00;2011-05-25 00:00:00;
3102072.0;endoprot coronaire, stent lib.zotarolimus, medtronic, resolute integrity,2,50 mm;O;O;2011-08-25 00:00:00;2011-08-31 00:00:00;2011-09-13 00:00:00;
3102110.0;endoprothese coronaire lib. sirolimus, b braun, coroflex isar, diam 3,50;O;O;2015-04-07 00:00:00;2015-04-10 00:00:00;2015-04-23 00:00:00;
3102385.0;implant pour plastie endocanalaire, non expansible,non elastique,non deployable;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3102385.0;implant pour plastie endocanalaire, non expansible,non elastique,non deployable;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3102391.0;endoprothese pour embolisation, ev3, pipeline, diam 3,25;O;O;2012-08-02 00:00:00;2012-08-09 00:00:00;2012-08-22 00:00:00;
3102422.0;coude, implant intermediaire faisant charniere;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3102793.0;implant digestif annulaire ajustable pour gastroplastie, ethicon, sagb;O;O;2015-02-18 00:00:00;2015-02-24 00:00:00;;2015-03-01
3102793.0;implant digestif annulaire ajustable pour gastroplastie, ethicon, sagb;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3102824.0;implant osseux, poudre, <ou= 15 cm3, modelable, synthes, norian;O;O;2015-07-01 00:00:00;2015-07-07 00:00:00;;2015-07-20
3102824.0;implant osseux, poudre, <ou= 15 cm3, modelable, synthes, norian;O;O;2008-11-21 00:00:00;2008-11-28 00:00:00;2008-12-11 00:00:00;
3102860.0;endoprothèse coronaire, stent lib. biolimus, cardinal, lumeno flex, 4,0 mm. ;O;O;2017-06-29 00:00:00;2017-07-04 00:00:00;2017-07-17 00:00:00;
3103002.0;endoprothese aortique tho.,bolton,relay plus,syst. mod.,corps cyl. droit 250 mm;O;O;2011-11-29 00:00:00;2011-12-02 00:00:00;2011-12-15 00:00:00;
3103031.0;reconstruction femorale et tibiale, adaptateur implantcast, mutars genux mk;O;O;2017-01-10 00:00:00;2017-01-12 00:00:00;2017-01-25 00:00:00;
3103077.0;implant orl, oreille, piston pour ankylose de l'etrier, plus d'1 materiau;O;O;2015-02-18 00:00:00;2015-02-24 00:00:00;;2015-03-01
3103077.0;implant orl, oreille, piston pour ankylose de l'etrier, plus d'1 materiau;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3103077.0;implant orl, oreille, piston pour ankylose de l'etrier, plus d'1 materiau;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3103189.0;endoprothese aortique, vascutek, anaconda, jambage iliaque evase degressif;O;O;2011-05-09 00:00:00;2011-05-12 00:00:00;2011-05-25 00:00:00;
3103309.0;osteosynthese, clou centromedullaire verrouillable, dynamique;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;;2006-03-15
3103309.0;osteosynthese, clou centromedullaire verrouillable, dynamique;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3103410.0;endoprothese pour embolisation, ev3, pipeline, diam 3,00;O;O;2012-08-02 00:00:00;2012-08-09 00:00:00;2012-08-22 00:00:00;
3103522.0;osteosynthese, vis corticale et spongieuse, non autotaraudeuse;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;;2006-03-15
3103522.0;osteosynthese, vis corticale et spongieuse, non autotaraudeuse;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3103611.0;endoprothese aortique tho.,bolton, relay plus,syst. mod.,corps cyl. droit 200 mm;O;O;2011-11-29 00:00:00;2011-12-02 00:00:00;2011-12-15 00:00:00;
3103769.0;valve cardiaque a disque;N;O;2010-02-23 00:00:00;2010-03-02 00:00:00;;2010-03-01
3103769.0;valve cardiaque a disque;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3103769.0;valve cardiaque a disque;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3103835.0;hanche, cotyle, monobloc mixte, alliage metallique, mathys, metamys;O;O;2008-04-17 00:00:00;2008-04-22 00:00:00;2008-05-05 00:00:00;
3103835.0;hanche, cotyle, monobloc mixte, alliage metallique, mathys, metamys;O;O;2017-03-03 00:00:00;2017-03-07 00:00:00;;2017-03-20
3103864.0;endoprot.coronaire,stent lib.everolimus,boston,promus element plus, diam 2,25 mm;O;O;2012-02-15 00:00:00;2012-02-21 00:00:00;2012-03-05 00:00:00;
3104020.0;systeme de pose a clips sans section, pour chirurgie endoscopique;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;;2006-03-15
3104042.0;implant exovasculaire de ligature interne pour anevrysmes cerebraux, dit clip;O;O;2015-02-18 00:00:00;2015-02-24 00:00:00;;2015-03-01
3104042.0;implant exovasculaire de ligature interne pour anevrysmes cerebraux, dit clip;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104042.0;implant exovasculaire de ligature interne pour anevrysmes cerebraux, dit clip;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3104119.0;genou, implant meniscal, ancre resorbable ou non, depuy mitek, omnispan;O;O;2011-06-17 00:00:00;2011-06-22 00:00:00;2011-07-05 00:00:00;
3104154.0;cheville, implant astragalien, non cimente, transysteme, aes;O;O;2011-01-10 00:00:00;2011-01-14 00:00:00;;2011-01-27
3104154.0;cheville, implant astragalien, non cimente, transysteme, aes;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104160.0;endoprothese coronaire, stent lib. zotarolimus, medtronic, endeavor, diam 3,0 mm;O;O;2015-11-05 00:00:00;2015-11-13 00:00:00;;2015-11-27
3104160.0;endoprothese coronaire, stent lib. zotarolimus, medtronic, endeavor, diam 3,0 mm;O;O;2006-05-22 00:00:00;2006-06-08 00:00:00;2006-06-21 00:00:00;
3104177.0;reconstruction tibiale, modulaire, diaphyse charnière fixe, stanmore, mets. ;O;O;2017-03-30 00:00:00;2017-04-04 00:00:00;2017-04-17 00:00:00;
3104177.0;reconstruction tibiale, modulaire, diaphyse charnière fixe, stanmore, mets;O;O;2017-03-30 00:00:00;2017-04-04 00:00:00;2017-04-12 00:00:00;
3104190.0;endoprothese coronaire dite stent, inactif, biotronik france, lekton motion;N;O;2010-09-06 00:00:00;2010-09-10 00:00:00;;2010-09-23
3104190.0;endoprothese coronaire dite stent, inactif, biotronik france, lekton motion;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104190.0;endoprothese coronaire dite stent, inactif, biotronik france, lekton motion;O;O;2005-10-05 00:00:00;2005-10-14 00:00:00;2005-10-15 00:00:00;
3104310.0;implant osseux, pate, <ou= 5 cm3, seringue de 5 ml, biomet, calcibon inject;O;O;2017-02-14 00:00:00;2017-02-17 00:00:00;2017-03-02 00:00:00;
3104378.0;genou, implant méniscal, ancre résorbable ou non, depuy mitek, truespan;O;O;2017-07-18 00:00:00;2017-07-20 00:00:00;2017-08-02 00:00:00;
3104496.0;endoprothese coronaire dite stent, inactif, sorin, carbostent chrono;O;O;2008-01-08 00:00:00;2008-01-15 00:00:00;2008-01-28 00:00:00;
3104556.0;implant osseux, geometrique, < ou 5 cm3;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104556.0;implant osseux, geometrique, < ou 5 cm3;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3104616.0;ligament articulaire artificiel du rachis, de remplacement ou de renfort;O;O;2009-03-09 00:00:00;2009-03-19 00:00:00;2009-03-20 00:00:00;
3104616.0;ligament articulaire artificiel du rachis, de remplacement ou de renfort;N;O;2006-08-25 00:00:00;2006-08-31 00:00:00;2006-09-01 00:00:00;
3104674.0;rachis, prothese disque lombaire, synthes, prodisc l;O;O;2016-09-23 00:00:00;2016-09-28 00:00:00;;2016-10-11
3104728.0;cheville, implant astragalien, cimente, link sarl (france), star;O;O;2016-09-05 00:00:00;2016-09-08 00:00:00;;2016-09-21
3104728.0;cheville, implant astragalien, cimente, link sarl (france), star;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104728.0;cheville, implant astragalien, cimente, link sarl (france), star;O;O;2005-10-05 00:00:00;2005-10-14 00:00:00;2005-10-15 00:00:00;
3104830.0;genou, implant patellaire en polyethylene et metal cimente;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104830.0;genou, implant patellaire en polyethylene et metal cimente;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3104881.0;endoprot coronaire, stent lib d'everolimus, abbott,xience xpedition,diam 3,25 mm;O;O;2013-05-02 00:00:00;2013-05-08 00:00:00;2013-05-21 00:00:00;
3104912.0;endoprothese pour embolisation, ev3, pipeline, diam 3,50;O;O;2012-08-02 00:00:00;2012-08-09 00:00:00;2012-08-22 00:00:00;
3104941.0;endoprothese coronaire, stent lib. biolimus, biosensors, biomatrix flex, 2,25 mm;O;O;2011-06-17 00:00:00;2011-06-22 00:00:00;2011-07-05 00:00:00;
3104987.0;genou, implant femoral de reprise bicondylien, cimente;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3104987.0;genou, implant femoral de reprise bicondylien, cimente;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3104993.0;reconstruction femorale, modulaire, stanmore, mets, remplacement circlip;O;O;2010-08-02 00:00:00;2010-08-26 00:00:00;2010-09-08 00:00:00;
3105188.0;endoprothese aortique, lemaitre, powerlink, extension iliaque;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-23 00:00:00;
3105277.0;endopro. aortique tho.,bolton,relay nbs plus,syst. mod.,corps cyl coniq 250 mm;O;O;2011-11-29 00:00:00;2011-12-02 00:00:00;2011-12-15 00:00:00;
3105604.0;micro-spires, orbit galaxy, forme complexe, codman;O;O;2011-05-09 00:00:00;2011-05-11 00:00:00;2011-05-24 00:00:00;
3105774.0;endoprothese aortique tho.,bolton,relay plus, syst. mod,corps cyl. coniq 200 mm;O;O;2011-11-29 00:00:00;2011-12-02 00:00:00;2011-12-15 00:00:00;
3105811.0;genou, embase de reprise, cimentee;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3105857.0;prothese osteo-integree, prodition, ponto, pilier 6 mm;O;O;2012-10-03 00:00:00;2012-10-09 00:00:00;2012-10-22 00:00:00;
3105863.0;reconstruction humerale, tige humerale sans ciment hap, implantcast, mutars;O;O;2017-01-10 00:00:00;2017-01-12 00:00:00;2017-01-25 00:00:00;
3105886.0;insert en polyéthylène hautement réticulé, smith & nephew, xlpe 22mm.;O;O;2017-03-06 00:00:00;2017-03-08 00:00:00;2017-03-21 00:00:00;
3105900.0;endoprothese aort tho., systeme mod, gore, tag, 100 mm;O;O;2015-08-24 00:00:00;2015-09-01 00:00:00;;2015-09-14
3105900.0;endoprothese aort tho., systeme mod, gore, tag, 100 mm;O;O;2012-02-15 00:00:00;2012-02-22 00:00:00;2012-03-06 00:00:00;
3105969.0;endoprothese aort tho., systeme mod, gore, conformable-tag, 150mm;O;O;2012-02-15 00:00:00;2012-02-22 00:00:00;2012-03-06 00:00:00;
3106064.0;urogenital, implant pour colposuspension, peri ou sous urethrocervical;N;O;2009-03-09 00:00:00;2009-03-19 00:00:00;;2009-03-20
3106064.0;urogenital, implant pour colposuspension, peri ou sous urethrocervical;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3106064.0;urogenital, implant pour colposuspension, peri ou sous urethrocervical;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3106087.0;implant d'embolisation arterielle non metallique (1 ml);O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3106207.0;endoprothèse coronaire, stent lib. biolimus, biosensors, biomatrix alpha, 2,25mm;O;O;2017-06-28 00:00:00;2017-06-30 00:00:00;2017-07-13 00:00:00;
3106437.0;anneau valvulaire cardiaque souple, sans armature;O;O;2015-02-18 00:00:00;2015-02-24 00:00:00;;2015-03-01
3106437.0;anneau valvulaire cardiaque souple, sans armature;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3106437.0;anneau valvulaire cardiaque souple, sans armature;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3106466.0;endoprothese pour embolisation, covidien, pipeline flex, diam 3,75;O;O;2015-05-13 00:00:00;2015-05-19 00:00:00;2015-06-01 00:00:00;
3106791.0;endoprothese aortique, bifurcation iliaque, cook, zenith branch;O;O;2013-04-10 00:00:00;2013-04-18 00:00:00;2013-05-01 00:00:00;
3107081.0;endoprot. coronaire, stent lib. everolimus, boston, promus element, diam 2,50mm;O;O;2010-03-31 00:00:00;2010-04-07 00:00:00;;2015-01-01
3107098.0;implant digestif annulaire ajustable pour gastroplastie, helioscopie, heliogast;O;O;2015-02-18 00:00:00;2015-02-24 00:00:00;;2015-03-01
3107098.0;implant digestif annulaire ajustable pour gastroplastie, helioscopie, heliogast;O;O;2011-08-24 00:00:00;2011-09-22 00:00:00;2011-10-05 00:00:00;
3107129.0;implant refection paroi, > 450cm2, aspide, surgimesh wn;N;O;2009-03-09 00:00:00;2009-03-19 00:00:00;;2009-03-20
3107129.0;implant refection paroi, > 450cm2, aspide, surgimesh wn;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-14 00:00:00;
3107141.0;endoprothèse coronaire, stent lib. biolimus, cardinal, lumeno free, diam 2,5mm ;O;O;2017-06-29 00:00:00;2017-07-04 00:00:00;2017-07-17 00:00:00;
3107164.0;reconstruction femorale et tibiale, modulaire, vis m10, implantcast, mutars;O;O;2017-01-10 00:00:00;2017-01-12 00:00:00;2017-01-25 00:00:00;
3107253.0;rachis, prothese disque lombaire, depuy, prodisc l, plateau superieur.;O;O;2016-09-23 00:00:00;2016-09-28 00:00:00;2016-10-11 00:00:00;
3107460.0;implant exovasculaire de gainage;O;O;2016-02-19 00:00:00;2016-02-26 00:00:00;;2016-03-01
3107460.0;implant exovasculaire de gainage;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3107460.0;implant exovasculaire de gainage;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3107543.0;implant refection paroi, > 100 cm2 & <= 250 cm2, microval, microval-intra;N;O;2009-03-09 00:00:00;2009-03-19 00:00:00;;2009-03-20
3107543.0;implant refection paroi, > 100 cm2 & <= 250 cm2, microval, microval-intra;N;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3107690.0;endoprothese aortique, cook france, zenith, zcmd-xx-12-147-sr uni endo;N;O;2006-08-25 00:00:00;2006-09-08 00:00:00;;2006-09-07
3107690.0;endoprothese aortique, cook france, zenith, zcmd-xx-12-147-sr uni endo;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3107862.0;epaule, tige speciale;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3107862.0;epaule, tige speciale;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3107891.0;endoprothese coronaire, stent lib. biolimus, biosensors, biomatrix alpha, 4,00mm ;O;O;2017-06-28 00:00:00;2017-06-30 00:00:00;2017-07-13 00:00:00;
3107916.0;hanche, tete ou tete a jupe, metallique;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3107922.0;endoprothese coronaire, stent lib, sirolimus, terumo, ultimaster diam 4,00 mm;O;O;2015-07-07 00:00:00;2015-07-10 00:00:00;2015-07-23 00:00:00;
3108293.0;endoprothese coronaire, stent lib. paclitaxel,boston, taxus lib.long,diam 3,00mm;O;O;2014-11-21 00:00:00;2014-12-02 00:00:00;;2016-01-01
3108293.0;endoprothese coronaire, stent lib. paclitaxel,boston, taxus lib.long,diam 3,00mm;O;O;2008-05-16 00:00:00;2008-05-27 00:00:00;2008-06-04 00:00:00;
3108301.0;reconstruction tibiale, modulaire, plaq. d’augmentation femorale, stanmore, mets;O;O;2017-03-30 00:00:00;2017-04-04 00:00:00;2017-04-12 00:00:00;
3108301.0;reconstruction tibiale, modulaire, plaq. d'augmentation fémorale, stanmore, mets;O;O;2017-03-30 00:00:00;2017-04-04 00:00:00;2017-04-17 00:00:00;
3108376.0;coude, extremite superieure, cubitus, metallique ou mixte;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3108376.0;coude, extremite superieure, cubitus, metallique ou mixte;O;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3108436.0;cheville, insert en polyethylene, link sarl (france), star;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3108436.0;cheville, insert en polyethylene, link sarl (france), star;O;O;2005-10-05 00:00:00;2005-10-14 00:00:00;2005-10-15 00:00:00;
3108643.0;reconstruction femorale, modulaire, stanmore, mets, composant monobloc hap;O;O;2010-08-02 00:00:00;2010-08-26 00:00:00;2010-09-08 00:00:00;
3108695.0;endoprothese coronaire, stent lib. paclitaxel,boston, taxus elem,diam 4,00mm;O;O;2014-11-21 00:00:00;2014-12-02 00:00:00;;2016-01-01
3108695.0;endoprothese coronaire, stent lib. paclitaxel,boston, taxus elem,diam 4,00mm;O;O;2011-02-15 00:00:00;2011-02-18 00:00:00;2011-03-03 00:00:00;
3108896.0;endopro. aortique tho.,bolton,relay nbs plus,syst. mod.,corps cyl coniq 150 mm;O;O;2011-11-29 00:00:00;2011-12-02 00:00:00;2011-12-15 00:00:00;
3108910.0;implant cranio-maxillo-facial, vis filetee, tete autoprehensive ou autoretentive;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3108910.0;implant cranio-maxillo-facial, vis filetee, tete autoprehensive ou autoretentive;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3108927.0;endoprot coronaire, stent lib.zotarolimus, medtronic, endeavor resolute, 2,5 mm;O;O;2011-04-04 00:00:00;2011-04-14 00:00:00;2011-04-27 00:00:00;
3108933.0;hanche, double mobilité, amplitude, saturne, insert, diam. 22 mm. ;O;O;2017-06-28 00:00:00;2017-06-30 00:00:00;2017-07-13 00:00:00;
3109051.0;endoprothese coronaire, stent lib everolimus,abbott,xience alpine, diam 2,50 mm;O;O;2015-11-05 00:00:00;2015-11-13 00:00:00;2015-11-26 00:00:00;
3109192.0;refection paroi, non tricote non tisse,<ou=100cm2, tht, intra-swing;N;O;2009-03-09 00:00:00;2009-03-19 00:00:00;;2009-03-20
3109192.0;refection paroi, non tricote non tisse,<ou=100cm2, tht, intra-swing;N;O;2007-03-30 00:00:00;2007-05-11 00:00:00;2007-05-12 00:00:00;
3109246.0;prothese osteo-integree, cochlear, baha, fixture;O;O;2015-04-07 00:00:00;2015-04-15 00:00:00;;2015-04-28
3109246.0;prothese osteo-integree, cochlear, baha, fixture;O;O;2009-10-23 00:00:00;2009-10-30 00:00:00;2009-11-12 00:00:00;
3109335.0;reconstruction femorale, modulaire, stanmore, mets, trochanter non hap;O;O;2010-08-02 00:00:00;2010-08-26 00:00:00;2010-09-08 00:00:00;
3109513.0;stent intracranien auto-expansible, boston scientific sa, neuroform 3;O;O;2007-07-06 00:00:00;2007-07-13 00:00:00;2007-07-26 00:00:00;
3109542.0;urogenital, implant ureteral double crosse;N;O;2007-01-30 00:00:00;2007-02-14 00:00:00;;2007-02-15
3109542.0;urogenital, implant ureteral double crosse;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3109542.0;urogenital, implant ureteral double crosse;N;O;2005-03-02 00:00:00;2005-05-10 00:00:00;2005-05-11 00:00:00;
3109766.0;refection paroi, non tricote non tisse,>600cm2, cousin, intramesh w3;N;O;2009-03-09 00:00:00;2009-03-19 00:00:00;;2009-03-20
3109766.0;refection paroi, non tricote non tisse,>600cm2, cousin, intramesh w3;N;O;2007-03-30 00:00:00;2007-05-11 00:00:00;2007-05-12 00:00:00;
3109766.0;refection paroi, non tricote non tisse,>600cm2, cousin, intramesh w3;O;O;2007-03-16 00:00:00;2007-03-27 00:00:00;2007-03-28 00:00:00;
3109803.0;poignet, implant radial, metallique ou mixte;O;O;2006-02-16 00:00:00;2006-02-28 00:00:00;2006-03-01 00:00:00;
3109826.0;endoprothese aortique, mf sas, talent lps x, hds, extension;O;O;2015-05-15 00:00:00;2015-05-19 00:00:00;;2015-06-01
3109826.0;endoprothese aortique, mf sas, talent lps x, hds, extension;O;O;2009-02-03 00:00:00;2009-02-10 00:00:00;2009-02-23 00:00:00;
3109855.0;endoprothese coronaire, stent lib. biolimus, biosensors, biomatrix neoflex, 4,0;O;O;2016-12-06 00:00:00;2016-12-09 00:00:00;2016-12-22 00:00:00;
